id,question
102,Solve the system $\begin{pmatrix} 3 & -1 & 2 \\ 1 & 2 & -1 \\ 2 & 1 & 3 \end{pmatrix}\begin{pmatrix} x \\ y \\ z \end{pmatrix} = \begin{pmatrix} 8 \\ 3 \\ 11 \end{pmatrix}$ using Gaussian elimination.
103,Find the eigenvalues of $B = \begin{pmatrix} 5 & -2 \\ 3 & 0 \end{pmatrix}$.
104,Compute the LU decomposition of $C = \begin{pmatrix} 4 & 2 & 1 \\ 8 & 7 & 2 \\ 4 & 6 & 5 \end{pmatrix}$.
105,Calculate the 2-norm of vector $v = \begin{pmatrix} 2 \\ -3 \\ 6 \\ 1 \end{pmatrix}$.
106,Find the inverse of $D = \begin{pmatrix} 3 & 1 \\ 7 & 2 \end{pmatrix}$ using the adjugate method.
107,Perform two iterations of the Jacobi method for $\begin{pmatrix} 5 & -1 & 1 \\ -1 & 4 & -1 \\ 1 & -1 & 3 \end{pmatrix}x = \begin{pmatrix} 10 \\ 8 \\ 6 \end{pmatrix}$ starting with $x^{(0)} = \begin{pmatrix} 0 \\ 0 \\ 0 \end{pmatrix}$.
108,Find the QR decomposition of $E = \begin{pmatrix} 1 & 2 \\ 1 & 0 \\ 0 & 1 \end{pmatrix}$ using Gram-Schmidt process.
109,Calculate the Frobenius norm of $F = \begin{pmatrix} 1 & -2 & 3 \\ 4 & 0 & -1 \\ 2 & 3 & 5 \end{pmatrix}$.
110,Solve $Gx = b$ using Cholesky decomposition where $G = \begin{pmatrix} 4 & 2 \\ 2 & 5 \end{pmatrix}$ and $b = \begin{pmatrix} 10 \\ 9 \end{pmatrix}$.
111,Find the singular values of $H = \begin{pmatrix} 2 & 0 \\ 0 & -3 \\ 1 & 0 \end{pmatrix}$.
112,Calculate the spectral radius of $I = \begin{pmatrix} 0.6 & 0.2 \\ 0.3 & 0.4 \end{pmatrix}$.
113,Find the least squares solution to $Jx = c$ where $J = \begin{pmatrix} 1 & 2 \\ 2 & 1 \\ 1 & 1 \end{pmatrix}$ and $c = \begin{pmatrix} 5 \\ 6 \\ 4 \end{pmatrix}$.
114,Compute the condition number $\kappa_2(K)$ where $K = \begin{pmatrix} 1 & 1 \\ 1 & 1.01 \end{pmatrix}$.
115,Find the null space of $L = \begin{pmatrix} 1 & 3 & -2 & 1 \\ 2 & 6 & -1 & 5 \\ 1 & 3 & 1 & 4 \end{pmatrix}$.
116,Calculate three iterations of power method for $M = \begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}$ starting with $v_0 = \begin{pmatrix} 1 \\ 0 \end{pmatrix}$.
117,Find the rank of $N = \begin{pmatrix} 2 & 4 & 6 & 8 \\ 1 & 2 & 3 & 4 \\ 3 & 6 & 9 & 12 \\ 1 & 2 & 4 & 5 \end{pmatrix}$.
118,Calculate the 1-norm and $\infty$-norm of $O = \begin{pmatrix} -1 & 2 & -3 \\ 4 & -5 & 6 \\ -7 & 8 & -9 \end{pmatrix}$.
119,Find eigenvalues of the tridiagonal matrix $P = \begin{pmatrix} 3 & -1 & 0 & 0 \\ -1 & 3 & -1 & 0 \\ 0 & -1 & 3 & -1 \\ 0 & 0 & -1 & 3 \end{pmatrix}$.
120,Perform Gaussian elimination with partial pivoting on $\begin{pmatrix} 0.0001 & 1 \\ 1 & 1 \end{pmatrix}\begin{pmatrix} x \\ y \end{pmatrix} = \begin{pmatrix} 1 \\ 2 \end{pmatrix}$.
121,Calculate the pseudoinverse of $Q = \begin{pmatrix} 2 & 0 \\ 0 & 0 \\ 0 & 3 \end{pmatrix}$.
122,Find the characteristic polynomial of $R = \begin{pmatrix} 2 & 1 & 0 \\ 0 & 2 & 1 \\ 0 & 0 & 2 \end{pmatrix}$.
123,Compute the matrix square root of $S = \begin{pmatrix} 4 & 0 \\ 0 & 16 \end{pmatrix}$.
124,Solve the Lyapunov equation $AX + XA^T = -C$ where $A = \begin{pmatrix} -2 & 1 \\ 0 & -3 \end{pmatrix}$ and $C = \begin{pmatrix} 4 & 0 \\ 0 & 6 \end{pmatrix}$.
125,Find the Jordan normal form of $T = \begin{pmatrix} 1 & 1 & 0 \\ 0 & 1 & 1 \\ 0 & 0 & 1 \end{pmatrix}$.
126,Calculate the condition number of the Hilbert matrix $H_2 = \begin{pmatrix} 1 & 1/2 \\ 1/2 & 1/3 \end{pmatrix}$.
127,Find the eigenvector corresponding to $\lambda = 4$ for $U = \begin{pmatrix} 2 & 2 \\ 2 & 2 \end{pmatrix}$.
128,Compute the matrix 2-norm of $V = \begin{pmatrix} 2 & 1 \\ 1 & 3 \end{pmatrix}$.
129,Solve using Cramer's rule: $\begin{pmatrix} 3 & 2 \\ 1 & 5 \end{pmatrix}\begin{pmatrix} x \\ y \end{pmatrix} = \begin{pmatrix} 11 \\ 9 \end{pmatrix}$.
130,Find the minimal polynomial of $W = \begin{pmatrix} 3 & 1 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 2 \end{pmatrix}$.
131,Calculate the trace and determinant of $X = \begin{pmatrix} 1 & 2 & -1 \\ 3 & 0 & 4 \\ -2 & 1 & 5 \end{pmatrix}$.
132,Find the orthogonal projection of $v = \begin{pmatrix} 2 \\ 1 \\ 3 \end{pmatrix}$ onto the subspace spanned by $u_1 = \begin{pmatrix} 1 \\ 0 \\ 1 \end{pmatrix}$ and $u_2 = \begin{pmatrix} 0 \\ 1 \\ 1 \end{pmatrix}$.
133,Compute the Schur decomposition of $Y = \begin{pmatrix} 3 & 2 \\ 0 & 1 \end{pmatrix}$.
134,Solve $Zx = b$ using forward substitution where $Z = \begin{pmatrix} 3 & 0 & 0 \\ 2 & 4 & 0 \\ 1 & -1 & 5 \end{pmatrix}$ and $b = \begin{pmatrix} 6 \\ 10 \\ 8 \end{pmatrix}$.
135,Calculate the angle between vectors $u = \begin{pmatrix} 1 \\ 2 \\ 0 \end{pmatrix}$ and $v = \begin{pmatrix} 2 \\ 1 \\ 2 \end{pmatrix}$.
136,Find matrix $A$ such that $A^2 = \begin{pmatrix} 9 & 0 \\ 0 & 25 \end{pmatrix}$.
137,Compute the generalized inverse of $B = \begin{pmatrix} 2 & 4 \\ 1 & 2 \end{pmatrix}$.
138,Solve the homogeneous system $(C - 2I)x = 0$ where $C = \begin{pmatrix} 4 & -2 \\ 3 & -1 \end{pmatrix}$.
139,Find the polar decomposition of $D = \begin{pmatrix} 4 & 3 \\ 0 & 5 \end{pmatrix}$.
140,Calculate the residual vector for approximate solution $x = \begin{pmatrix} 1 \\ 2 \end{pmatrix}$ to $Ex = f$ where $E = \begin{pmatrix} 3 & 1 \\ 2 & 4 \end{pmatrix}$ and $f = \begin{pmatrix} 6 \\ 9 \end{pmatrix}$.
141,Find the column space of $F = \begin{pmatrix} 1 & 3 & 2 \\ 2 & 6 & 5 \\ 1 & 3 & 3 \end{pmatrix}$.
142,Compute two steps of Gauss-Seidel method for $\begin{pmatrix} 4 & 1 \\ 2 & 5 \end{pmatrix}x = \begin{pmatrix} 7 \\ 12 \end{pmatrix}$ with $x^{(0)} = \begin{pmatrix} 0 \\ 0 \end{pmatrix}$.
143,Find eigenvalues of the symmetric matrix $G = \begin{pmatrix} 2 & 1 & 0 \\ 1 & 2 & 1 \\ 0 & 1 & 2 \end{pmatrix}$.
144,Calculate the matrix logarithm of $H = \begin{pmatrix} e^2 & 0 \\ 0 & e^3 \end{pmatrix}$.
145,Find the best rank-1 approximation to $I = \begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}$ using SVD.
146,Solve the matrix equation $XJ + JX = K$ where $J = \begin{pmatrix} 2 & 0 \\ 0 & 3 \end{pmatrix}$ and $K = \begin{pmatrix} 10 & 0 \\ 0 & 15 \end{pmatrix}$.
147,Find the Gershgorin discs for $L = \begin{pmatrix} 4 & 1 & -1 \\ 2 & 3 & 0 \\ -1 & 0 & 5 \end{pmatrix}$.
148,Calculate the Householder reflector that zeros the last component of $v = \begin{pmatrix} 2 \\ 3 \\ 4 \end{pmatrix}$.
149,Solve the triangular system $\begin{pmatrix} 2 & 1 & 3 \\ 0 & 3 & 1 \\ 0 & 0 & 4 \end{pmatrix}x = \begin{pmatrix} 12 \\ 10 \\ 8 \end{pmatrix}$ using back substitution.
150,Compute the spectral norm of $M = \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix}$.
151,Calculate the determinant of $A = \begin{pmatrix} 1 & 4 & 7 \\ 2 & 5 & 8 \\ 3 & 6 & 10 \end{pmatrix}$ using row operations.
152,Find the eigenvalues of $B = \begin{pmatrix} 7 & -3 \\ 2 & 2 \end{pmatrix}$ and verify using the trace and determinant.
153,Solve the system $\begin{pmatrix} 2 & 1 & -3 \\ 4 & 3 & -1 \\ 1 & 2 & 4 \end{pmatrix}\begin{pmatrix} x \\ y \\ z \end{pmatrix} = \begin{pmatrix} 5 \\ 13 \\ 12 \end{pmatrix}$ using matrix inversion.
154,Compute the LU decomposition with partial pivoting for $C = \begin{pmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \\ 7 & 8 & 9 \end{pmatrix}$.
155,Calculate the infinity norm and 1-norm of vector $v = \begin{pmatrix} -5 \\ 2 \\ -8 \\ 3 \end{pmatrix}$.
156,Find the inverse of $D = \begin{pmatrix} 2 & 3 \\ 5 & 8 \end{pmatrix}$ using Gauss-Jordan elimination.
157,Perform three iterations of the power method for $E = \begin{pmatrix} 4 & 1 \\ 2 & 3 \end{pmatrix}$ starting with $v_0 = \begin{pmatrix} 1 \\ 1 \end{pmatrix}$.
158,Find the QR decomposition of $F = \begin{pmatrix} 3 & 1 \\ 4 & 2 \\ 0 & 2 \end{pmatrix}$ using Householder reflections.
159,Calculate the Frobenius norm of $G = \begin{pmatrix} 2 & -1 & 0 \\ 1 & 3 & -2 \\ -1 & 0 & 4 \end{pmatrix}$.
160,Solve $Hx = b$ using Cholesky decomposition where $H = \begin{pmatrix} 9 & 3 \\ 3 & 2 \end{pmatrix}$ and $b = \begin{pmatrix} 15 \\ 7 \end{pmatrix}$.
161,Find the singular values of $I = \begin{pmatrix} 1 & 2 \\ 3 & 4 \\ 5 & 6 \end{pmatrix}$.
162,Calculate the spectral radius of $J = \begin{pmatrix} 0.3 & 0.4 \\ 0.5 & 0.2 \end{pmatrix}$.
163,Find the least squares solution to $Kx = c$ where $K = \begin{pmatrix} 1 & 1 \\ 1 & 2 \\ 2 & 1 \\ 1 & 3 \end{pmatrix}$ and $c = \begin{pmatrix} 2 \\ 3 \\ 4 \\ 5 \end{pmatrix}$.
164,Compute the condition number $\kappa_2(L)$ where $L = \begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}$.
165,Find the null space of $M = \begin{pmatrix} 2 & 4 & -2 & 6 \\ 1 & 2 & -1 & 3 \\ 3 & 6 & -3 & 9 \end{pmatrix}$.
166,Calculate four iterations of inverse power method for $N = \begin{pmatrix} 5 & 2 \\ 2 & 2 \end{pmatrix}$ with shift $\sigma = 1$ starting with $v_0 = \begin{pmatrix} 1 \\ 0 \end{pmatrix}$.
167,Find the rank of $O = \begin{pmatrix} 1 & 3 & 5 & 7 \\ 2 & 6 & 10 & 14 \\ 1 & 3 & 6 & 8 \\ 0 & 0 & 1 & 1 \end{pmatrix}$.
168,Calculate the matrix 1-norm and $\infty$-norm of $P = \begin{pmatrix} 2 & -3 & 1 \\ -1 & 4 & -2 \\ 3 & -1 & 5 \end{pmatrix}$.
169,Find the eigenvalues of the pentadiagonal matrix $Q = \begin{pmatrix} 3 & -1 & 0 & 0 & 0 \\ -1 & 3 & -1 & 0 & 0 \\ 0 & -1 & 3 & -1 & 0 \\ 0 & 0 & -1 & 3 & -1 \\ 0 & 0 & 0 & -1 & 3 \end{pmatrix}$.
170,Perform Gaussian elimination with complete pivoting on $\begin{pmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \\ 7 & 8 & 10 \end{pmatrix}\begin{pmatrix} x \\ y \\ z \end{pmatrix} = \begin{pmatrix} 6 \\ 15 \\ 25 \end{pmatrix}$.
171,Calculate the Moore-Penrose pseudoinverse of $R = \begin{pmatrix} 1 & 2 \\ 2 & 4 \\ 3 & 6 \end{pmatrix}$.
172,Find the characteristic polynomial of $S = \begin{pmatrix} 4 & 1 & 0 \\ 0 & 4 & 1 \\ 0 & 0 & 4 \end{pmatrix}$.
173,Compute the principal square root of $T = \begin{pmatrix} 5 & 2 \\ 2 & 2 \end{pmatrix}$.
174,Solve the discrete Lyapunov equation $AXA^T - X = -C$ where $A = \begin{pmatrix} 0.5 & 0.2 \\ 0 & 0.3 \end{pmatrix}$ and $C = \begin{pmatrix} 1 & 0 \\ 0 & 2 \end{pmatrix}$.
175,Find the Jordan canonical form of $U = \begin{pmatrix} 2 & 1 & 1 \\ 0 & 2 & 0 \\ 0 & 0 & 3 \end{pmatrix}$.
176,Calculate the condition number of the Vandermonde matrix $V = \begin{pmatrix} 1 & 1 & 1 \\ 1 & 2 & 3 \\ 1 & 4 & 9 \end{pmatrix}$.
177,Find the eigenvector corresponding to $\lambda = 6$ for $W = \begin{pmatrix} 4 & 2 \\ 2 & 4 \end{pmatrix}$.
178,Compute the spectral norm of $X = \begin{pmatrix} 1 & 3 \\ 2 & 1 \end{pmatrix}$.
179,Solve using Cramer's rule: $\begin{pmatrix} 2 & -1 \\ 3 & 4 \end{pmatrix}\begin{pmatrix} x \\ y \end{pmatrix} = \begin{pmatrix} 5 \\ 14 \end{pmatrix}$.
180,Find the minimal polynomial of $Y = \begin{pmatrix} 1 & 0 & 0 \\ 0 & 1 & 1 \\ 0 & 0 & 1 \end{pmatrix}$.
181,Calculate the trace and determinant of $Z = \begin{pmatrix} 3 & 1 & -2 \\ 0 & 4 & 3 \\ 1 & -1 & 2 \end{pmatrix}$.
182,Find the orthogonal projection of $v = \begin{pmatrix} 1 \\ 3 \\ 2 \end{pmatrix}$ onto the line spanned by $u = \begin{pmatrix} 2 \\ 1 \\ 2 \end{pmatrix}$.
183,Compute the Schur decomposition of $AA = \begin{pmatrix} 2 & 3 \\ 0 & 4 \end{pmatrix}$.
184,Solve $BBx = b$ using backward substitution where $BB = \begin{pmatrix} 2 & 1 & 3 \\ 0 & 3 & 2 \\ 0 & 0 & 4 \end{pmatrix}$ and $b = \begin{pmatrix} 14 \\ 11 \\ 12 \end{pmatrix}$.
185,Calculate the angle between vectors $u = \begin{pmatrix} 3 \\ 0 \\ 4 \end{pmatrix}$ and $v = \begin{pmatrix} 1 \\ 2 \\ 0 \end{pmatrix}$.
186,Find matrix $CC$ such that $CC^3 = \begin{pmatrix} 27 & 0 \\ 0 & 64 \end{pmatrix}$.
187,Compute the generalized inverse of $DD = \begin{pmatrix} 3 & 6 \\ 1 & 2 \end{pmatrix}$.
188,Solve the homogeneous system $(EE - 3I)x = 0$ where $EE = \begin{pmatrix} 5 & 2 \\ 4 & 1 \end{pmatrix}$.
189,Find the polar decomposition of $FF = \begin{pmatrix} 2 & 1 \\ 1 & 1 \end{pmatrix}$.
190,Calculate the residual for approximate solution $x = \begin{pmatrix} 2 \\ 1 \end{pmatrix}$ to $GGx = f$ where $GG = \begin{pmatrix} 1 & 3 \\ 2 & 1 \end{pmatrix}$ and $f = \begin{pmatrix} 5 \\ 6 \end{pmatrix}$.
191,Find the column space of $HH = \begin{pmatrix} 2 & 4 & 6 \\ 1 & 2 & 3 \\ 3 & 6 & 9 \end{pmatrix}$.
192,Compute three steps of conjugate gradient method for $\begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}x = \begin{pmatrix} 4 \\ 3 \end{pmatrix}$ with $x_0 = \begin{pmatrix} 0 \\ 0 \end{pmatrix}$.
193,Find eigenvalues of the block diagonal matrix $II = \begin{pmatrix} 2 & 1 & 0 & 0 \\ 1 & 3 & 0 & 0 \\ 0 & 0 & 4 & 2 \\ 0 & 0 & 2 & 5 \end{pmatrix}$.
194,Calculate the matrix logarithm of $JJ = \begin{pmatrix} e & 0 \\ 0 & e^4 \end{pmatrix}$.
195,Find the best rank-2 approximation to $KK = \begin{pmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \\ 7 & 8 & 9 \end{pmatrix}$ using SVD.
196,"Solve the Sylvester equation $AX - XB = C$ where $A = \begin{pmatrix} 1 & 1 \\ 0 & 2 \end{pmatrix}$, $B = \begin{pmatrix} 3 \end{pmatrix}$, and $C = \begin{pmatrix} 1 \\ 2 \end{pmatrix}$."
197,Find the Gershgorin circles for $LL = \begin{pmatrix} 6 & 1 & 2 \\ 3 & 4 & 1 \\ 1 & 2 & 5 \end{pmatrix}$.
198,"Calculate the Givens rotation that zeros the (2,1) entry of $\begin{pmatrix} 3 \\ 4 \end{pmatrix}$."
199,Solve the upper triangular system $\begin{pmatrix} 3 & 2 & 1 \\ 0 & 2 & 3 \\ 0 & 0 & 1 \end{pmatrix}x = \begin{pmatrix} 11 \\ 8 \\ 2 \end{pmatrix}$ using back substitution.
200,Compute the nuclear norm of $MM = \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix}$.
201,Find eigenvalues of the companion matrix $NN = \begin{pmatrix} 0 & 0 & -2 \\ 1 & 0 & -3 \\ 0 & 1 & -4 \end{pmatrix}$.
202,Calculate the condition number of $OO = \begin{pmatrix} 1 & 1 \\ 0 & \epsilon \end{pmatrix}$ where $\epsilon = 10^{-8}$.
203,Find the solution using GMRES method (one iteration) for $\begin{pmatrix} 2 & 1 \\ 1 & 3 \end{pmatrix}x = \begin{pmatrix} 3 \\ 4 \end{pmatrix}$ with $x_0 = \begin{pmatrix} 0 \\ 0 \end{pmatrix}$.
204,Calculate the Hadamard product $PP \circ QQ$ where $PP = \begin{pmatrix} 2 & 3 \\ 1 & 4 \end{pmatrix}$ and $QQ = \begin{pmatrix} 5 & 2 \\ 3 & 1 \end{pmatrix}$.
205,Find eigenvalues of the circulant matrix $RR = \begin{pmatrix} 2 & 1 & 3 \\ 3 & 2 & 1 \\ 1 & 3 & 2 \end{pmatrix}$.
206,"Compute the generalized eigenvalues of $(SS, TT)$ where $SS = \begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}$ and $TT = \begin{pmatrix} 2 & 0 \\ 0 & 1 \end{pmatrix}$."
207,"Find the solution to the block system $\begin{pmatrix} A & B \\ C & D \end{pmatrix}\begin{pmatrix} x_1 \\ x_2 \end{pmatrix} = \begin{pmatrix} b_1 \\ b_2 \end{pmatrix}$ where $A = \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix}$, $B = \begin{pmatrix} 1 \\ 0 \end{pmatrix}$, $C = \begin{pmatrix} 1 & 0 \end{pmatrix}$, $D = 2$, $b_1 = \begin{pmatrix} 3 \\ 7 \end{pmatrix}$, $b_2 = 3$."
208,Calculate the matrix sign function of $UU = \begin{pmatrix} 3 & 0 \\ 0 & -2 \end{pmatrix}$.
209,"Find the Schur complement of $\begin{pmatrix} A & B \\ C & D \end{pmatrix}$ where $A = \begin{pmatrix} 1 & 2 \\ 2 & 5 \end{pmatrix}$, $B = \begin{pmatrix} 1 \\ 3 \end{pmatrix}$, $C = \begin{pmatrix} 1 & 3 \end{pmatrix}$, $D = 4$."
210,Compute the Kronecker product $VV \otimes WW$ where $VV = \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix}$ and $WW = \begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}$.
211,Find the matrix exponential of $XX = \begin{pmatrix} 0 & 1 \\ 0 & 0 \end{pmatrix}$.
212,Calculate the vec operation on $YY = \begin{pmatrix} 1 & 3 \\ 2 & 4 \end{pmatrix}$.
213,Find the solution using BiCGSTAB method (conceptual setup) for $\begin{pmatrix} 4 & 1 \\ 1 & 3 \end{pmatrix}x = \begin{pmatrix} 5 \\ 4 \end{pmatrix}$.
214,Compute the Drazin inverse of $ZZ = \begin{pmatrix} 1 & 1 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 2 \end{pmatrix}$.
215,Find eigenvalues of the Toeplitz matrix $AAA = \begin{pmatrix} 2 & 1 & 0 \\ 1 & 2 & 1 \\ 0 & 1 & 2 \end{pmatrix}$.
216,Calculate the Rayleigh quotient $\frac{x^TAx}{x^Tx}$ where $A = \begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}$ and $x = \begin{pmatrix} 1 \\ 2 \end{pmatrix}$.
217,Find the solution to the Riccati equation $X + XAX = Q$ where $A = \begin{pmatrix} 1 & 0 \\ 0 & 2 \end{pmatrix}$ and $Q = \begin{pmatrix} 1 & 0 \\ 0 & 4 \end{pmatrix}$.
218,Compute the Frobenius companion matrix for polynomial $p(x) = x^3 + 2x^2 + 3x + 4$.
219,Find the solution using QMR method (setup) for $\begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix}x = \begin{pmatrix} 3 \\ 3 \end{pmatrix}$.
220,Calculate the group inverse of $BBB = \begin{pmatrix} 1 & 1 & 1 \\ 1 & 1 & 1 \\ 1 & 1 & 1 \end{pmatrix}$.
221,Find eigenvalues of the Hankel matrix $CCC = \begin{pmatrix} 1 & 2 & 3 \\ 2 & 3 & 4 \\ 3 & 4 & 5 \end{pmatrix}$.
222,"Compute the weighted least squares solution to $Ax = b$ with weight matrix $W$ where $A = \begin{pmatrix} 1 & 1 \\ 1 & 2 \\ 2 & 1 \end{pmatrix}$, $b = \begin{pmatrix} 2 \\ 3 \\ 4 \end{pmatrix}$, $W = \begin{pmatrix} 2 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 3 \end{pmatrix}$."
223,Find the solution to the generalized Sylvester equation $AXB + CXD = E$ where all matrices are $2 \times 2$.
224,Calculate the numerical rank of $DDD = \begin{pmatrix} 1 & 2 & 3 \\ 2 & 4 & 6.0001 \\ 3 & 6 & 9 \end{pmatrix}$ with tolerance $10^{-3}$.
225,Find the solution using MINRES method (setup) for the symmetric system $\begin{pmatrix} 2 & 1 \\ 1 & 3 \end{pmatrix}x = \begin{pmatrix} 3 \\ 4 \end{pmatrix}$.
226,"Compute the matrix $p$-norm $\|EEE\|_p$ for $p = 1, 2, \infty$ where $EEE = \begin{pmatrix} 1 & -2 \\ 3 & 4 \end{pmatrix}$."
227,Find the Cholesky factorization with pivoting for $FFF = \begin{pmatrix} 1 & 2 & 3 \\ 2 & 5 & 8 \\ 3 & 8 & 14 \end{pmatrix}$.
228,Calculate the condition number with respect to matrix inversion for $GGG = \begin{pmatrix} 1 & 1 \\ 1 & 1+\epsilon \end{pmatrix}$ where $\epsilon = 10^{-6}$.
229,Find the solution to the tensor equation $\mathcal{A} \times_1 X = \mathcal{B}$ where $\mathcal{A}$ is a $2 \times 2 \times 2$ tensor.
230,Compute the generalized singular value decomposition (GSVD) of matrices $A = \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix}$ and $B = \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix}$.
231,Find the solution using LSQR method (setup) for the least squares problem $\min\|Ax - b\|$ where $A = \begin{pmatrix} 1 & 1 \\ 2 & 1 \\ 1 & 2 \end{pmatrix}$ and $b = \begin{pmatrix} 2 \\ 3 \\ 4 \end{pmatrix}$.
232,Calculate the matrix cosine of $HHH = \begin{pmatrix} 0 & \pi/2 \\ -\pi/2 & 0 \end{pmatrix}$.
233,"Find the Padé approximation of order $(1,1)$ to the matrix exponential of $III = \begin{pmatrix} 0.1 & 0 \\ 0 & 0.2 \end{pmatrix}$."
234,Compute the Bauer-Fike bound for eigenvalue perturbation of $JJJ = \begin{pmatrix} 2 & 1 \\ 0 & 3 \end{pmatrix}$ with perturbation $\Delta A = \begin{pmatrix} 0.1 & 0 \\ 0 & 0.1 \end{pmatrix}$.
235,Find the solution to the algebraic Riccati equation $A^TX + XA - XBR^{-1}B^TX + Q = 0$ for small matrices.
236,Calculate the structured condition number for the Vandermonde matrix $V = \begin{pmatrix} 1 & 1 \\ 2 & 4 \end{pmatrix}$.
237,Find the solution using IDR(s) method with $s=2$ (setup) for $\begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}x = \begin{pmatrix} 4 \\ 3 \end{pmatrix}$.
238,Compute the logarithmic norm of $KKK = \begin{pmatrix} -1 & 2 \\ 1 & -3 \end{pmatrix}$.
239,Find the solution to the discrete-time Lyapunov equation $X - AXA^T = Q$ where $A = \begin{pmatrix} 0.5 & 0.1 \\ 0 & 0.8 \end{pmatrix}$ and $Q = \begin{pmatrix} 1 & 0 \\ 0 & 1 \end{pmatrix}$.
240,Calculate the field of values (numerical range) boundary points for $LLL = \begin{pmatrix} 1 & i \\ -i & 1 \end{pmatrix}$.
241,Find the solution using flexible GMRES (FGMRES) method (setup) for $\begin{pmatrix} 4 & 1 \\ 1 & 3 \end{pmatrix}x = \begin{pmatrix} 5 \\ 4 \end{pmatrix}$.
242,Compute the Drazin inverse of the singular matrix $MMM = \begin{pmatrix} 1 & 1 & 1 \\ 0 & 0 & 1 \\ 0 & 0 & 0 \end{pmatrix}$.
243,"Find eigenvalues of the matrix pencil $(A, B)$ where $A = \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix}$ and $B = \begin{pmatrix} 2 & 1 \\ 1 & 1 \end{pmatrix}$."
244,Calculate the pseudospectrum $\sigma_\epsilon(A)$ for $\epsilon = 0.1$ where $A = \begin{pmatrix} 0 & 1 \\ 0 & 0 \end{pmatrix}$.
245,Find the solution using restarted GMRES(m) with $m=2$ for $\begin{pmatrix} 3 & 1 \\ 1 & 2 \end{pmatrix}x = \begin{pmatrix} 4 \\ 3 \end{pmatrix}$.
246,Compute the matrix $p$-th root $A^{1/p}$ for $p=3$ where $A = \begin{pmatrix} 8 & 0 \\ 0 & 27 \end{pmatrix}$.
247,Find the solution to the coupled Sylvester equations $AX + YB = C$ and $DX + YE = F$.
248,Calculate the stability radius of $A = \begin{pmatrix} -1 & 1 \\ 0 & -2 \end{pmatrix}$.
249,Find the solution using the Arnoldi method to approximate eigenvalues of $\begin{pmatrix} 2 & 1 & 0 \\ 1 & 2 & 1 \\ 0 & 1 & 2 \end{pmatrix}$.
250,Compute the matrix unwinding number for $\log(A)$ where $A = \begin{pmatrix} -1 & 0 \\ 0 & -1 \end{pmatrix}$.
251,Find the determinant of $A = \begin{pmatrix} 5 & 3 & 2 \\ 1 & 6 & 4 \\ 2 & 1 & 7 \end{pmatrix}$ using cofactor expansion along the first column.
252,Solve the system $\begin{pmatrix} 4 & 2 & 1 \\ 2 & 5 & 3 \\ 1 & 3 & 6 \end{pmatrix}\begin{pmatrix} x \\ y \\ z \end{pmatrix} = \begin{pmatrix} 18 \\ 23 \\ 22 \end{pmatrix}$ using matrix inversion.
253,Calculate the eigenvalues of $B = \begin{pmatrix} 8 & -4 \\ 2 & 2 \end{pmatrix}$ and determine if the matrix is diagonalizable.
254,Perform LU decomposition with partial pivoting on $C = \begin{pmatrix} 2 & 4 & 6 \\ 6 & 8 & 10 \\ 4 & 10 & 12 \end{pmatrix}$.
255,"Find the 1-norm, 2-norm, and infinity norm of vector $v = \begin{pmatrix} -2 \\ 5 \\ -3 \\ 1 \end{pmatrix}$."
256,Calculate the inverse of $D = \begin{pmatrix} 3 & 2 \\ 5 & 4 \end{pmatrix}$ using Gauss-Jordan elimination.
257,Apply four iterations of the Jacobi method to solve $\begin{pmatrix} 6 & 1 & 2 \\ 1 & 7 & 1 \\ 2 & 1 & 8 \end{pmatrix}x = \begin{pmatrix} 15 \\ 18 \\ 22 \end{pmatrix}$ starting with $x^{(0)} = \begin{pmatrix} 0 \\ 0 \\ 0 \end{pmatrix}$.
258,Find the QR decomposition of $E = \begin{pmatrix} 1 & 2 \\ 2 & 1 \\ 2 & 2 \end{pmatrix}$ using Householder reflections.
